Retrieving speedtest.net configuration...
 8990) 3BB (Bangkok, Thailand) [5.48 km]
 4347) CAT Telecom (Bangkok, Thailand) [5.48 km]
11528) TOT Public Company LTD. (Bangkok, Thailand) [5.48 km]
11823) TCC Technology (Bangkok, Thailand) [5.48 km]
 9361) TOT Public Company Limited (Bangkok, Thailand) [5.48 km]
 1219) Shama Thunder (Bangkok, Thailand) [5.48 km]
 3147) AIS (Bangkok, Thailand) [5.48 km]
 5609) Internet Thailand PCL (Bangkok, Thailand) [5.48 km]
 6521) Symphony Communication Public Company Limited (Bangkok, Thailand) [5.48 km]
 7115) RMUTP (Bangkok, Thailand) [5.48 km]
16628) NIPA.CLOUD 1st Cloud Thailand (Bangkok, Thailand) [5.48 km]
 9830) Bangmod Enterprise Co., Ltd. (Bangkok, Thailand) [5.48 km]
 5394) CS LoxInfo (Bangkok, Thailand) [5.48 km]
 6283) Ncic (Bangkok, Thailand) [5.48 km]
15492) KMITL (Bangkok, Thailand) [5.48 km]
 2459) AWN (Bangkok, Thailand) [5.48 km]
17760) Dots Solutions (Bangkok, TH) [5.48 km]
 5431) Chulalongkorn University (Bangkok, Thailand) [5.48 km]
17241) AIS (Pathum Wan, Thailand) [9.24 km]
16061) AIS (Nonthaburi, Thailand) [18.22 km]
18487) UIH (Chatuchak, Thailand) [18.34 km]
 3855) dtac (Samut Prakarn, Thailand) [19.70 km]
16063) AIS (Samut Prakarn, Thailand) [19.70 km]
 6220) CPE-RMUTT (Pathum Thani, Thailand) [38.11 km]
16062) AIS (Pathum Thani, Thailand) [38.11 km]
17691) AIS (Nakhon Pathom, Thailand) [46.74 km]
16128) AIS (Chonburi, Thailand) [68.98 km]
17690) AIS (Ayutthaya, TH) [74.85 km]
17692) AIS (Pattaya, Thailand) [98.03 km]
17111) AIS (Nakhon Ratchasima, TH) [226.27 km]
17134) AIS (Phitsanulok, TH) [346.73 km]
11195) AIS (Khon Kaen, Thailand) [395.39 km]
10981) Khon Kaen University (Khon Kaen, Thailand) [395.39 km]
11277) AIS (Surat Thani, Thailand) [523.26 km]
 6999) ETL company limited (Vientiane, Lao PDR) [526.10 km]
 1936) Lao Telecom (Vientiane, Lao PDR) [526.10 km]
18361) Skytelecom State Company (Vientiane Capital, Laos) [528.54 km]
18509) Unitel (Vientiane Capital, Laos) [528.54 km]
14631) EZECOM (Phnom Penh, Cambodia) [538.06 km]
 2256) Smart Axiata (Phnom Penh, Cambodia) [540.19 km]
 5828) SINET (Phnom Penh, Cambodia) [540.19 km]
13093) Cellcard (Phnom Penh, Cambodia) [540.19 km]
 1788) Metfone (Phnom Penh, Cambodia) [540.19 km]
 2504) ONLINE (Phnom Penh, Cambodia) [540.19 km]
10798) Today Communication (Phnom Penh, Cambodia) [540.19 km]
 8977) NeocomISP Limited (Phnom Penh, Cambodia) [540.19 km]
 9509) KINGTEL (Phnom Penh, Cambodia) [540.19 km]
 1452) WiCAM Corporation (Phnom Penh, Cambodia) [540.19 km]
 4182) EZECOM (Phnom Penh, Cambodia) [540.19 km]
16460) TURBO TECH (Phnom Penh, Cambodia) [540.19 km]
13280) Cambodian SingMeng Telemedia Co., Ltd. (Phnom Penh, Cambodia) [540.19 km]
10574) MekongNet ISP (Phnom Penh, Cambodia) [540.19 km]
11248) MaxBIT (Phnom Penh, Cambodia) [540.19 km]
 8615) CityLink (Phnom Penh, Cambodia) [540.19 km]
 8760) Xinwei (Phnom Penh, Cambodia) [540.19 km]
13459) Y5Net (Phnom Penh, Cambodia) [540.19 km]
 6610) Seatel (Phnom Penh, Cambodia) [540.19 km]
 3281) OPENNET (Phnom Penh, Cambodia) [540.19 km]
10599) Digi (Phnom Penh, Cambodia) [540.19 km]
19013) Flash Tech (Phnom Penh, Cambodia) [540.19 km]
 6683) Myanmar Net (Yangon, Myanmar) [575.78 km]
18994) AGB Communication (Yangon, Myanmar) [575.78 km]
 9965) Yatanarpon Teleport (Yangon, Myanmar) [575.78 km]
17918) Ananda (Yangon, MM) [575.78 km]
13418) Fortune International (Yangon, Myanmar) [575.78 km]
17589) MPT (Yangon, MM) [575.78 km]
16916) Mytel (Yangon, Myanmar) [575.78 km]
 5329) Telenor Myanmar Ltd. (Yangon, Myanmar) [575.78 km]
14062) 5 BB broadband (Yangon, Myanmar) [575.78 km]
14059) Global Technology (Yangon, Myanmar) [575.78 km]
10844) AIS (Chiang Mai, Thailand) [577.58 km]
17153) Nakhon Si Thammarat Rajabhat University (Nakhon Si Thammarat, TH) [589.13 km]
 1306) Prince of Songkla Univ (Phuket, Thailand) [678.05 km]
 1308) Computer Center, Prince of Songkla University (Trang Province, Thailand) [690.06 km]
13373) SPT4 (Can Tho, Vietnam) [705.13 km]
 1304) Prince of Songkla Univ (Songkhla Province, Thailand) [723.26 km]
13700) Rajamangala University of Technology Srivijaya (Songkhla, Thailand) [724.98 km]
12059) AIS (Songkhla, Thailand) [724.98 km]
18107) CAT TELECOM PUBLIC COMPANY LIMITED (Hatyai, Thailand) [744.98 km]
 6106) VNPT-NET (Ho Chi Minh City, Vietnam) [750.71 km]
12635) HTC-ITC (Ho Chi Minh City, Viet Nam) [750.71 km]
 3381) NetNam (Ho Chi Minh City, Vietnam) [750.71 km]
12473) Saigon Postel Corporation (Ho Chi Minh City, Viet Nam) [750.71 km]
 2427) Viettel Networks (Ho Chi Minh City, Vietnam) [750.71 km]
 9331) MOBIFONE (Ho Chi Minh City, Vietnam) [750.71 km]
 8158) VTC DIGICOM (Ho Chi Minh City, Vietnam) [750.71 km]
 2515) FPT Telecom (Ho Chi Minh City, Vietnam) [750.71 km]
11342) VIETPN CO, LTD (Ho Chi Minh City, Viet Nam) [750.71 km]
16749) Vietnamobile (Ho Chi Minh, VN) [750.71 km]
 9668) Supernet (Ho Chi Minh City, Vietnam) [750.71 km]
 9994) Viettel Network (Ho Chi Minh City, Vietnam) [750.71 km]
18250) CMC Telecom (Ho Chi Minh, Vietnam) [750.71 km]
 8491) SCTV Co.Ltd (Ho Chi Minh City, Vietnam) [750.71 km]
11411) DTS Communication Technologies Corporation (Ho Chi Minh City, Viet Nam) [750.71 km]
15324) VietNamHost (Ho Chi Minh City, Viet Nam) [750.71 km]
 1305) Prince of Songkla Univ (Pattani Province, Thailand) [765.56 km]
17590) MPT (Naypyidaw, MM) [818.75 km]
18053) mm-link (Naypyidaw, MM) [818.75 km]
12020) Albukhary International University (Alor Setar, Malaysia) [843.30 km]
 6102) VNPT-NET (Da Nang, Vietnam) [875.81 km]
10040) Viettel Network (Da Nang, Vietnam) [875.81 km]
19060) GIAM PING VIETPN.COM (Da Nang, Vietnam) [875.81 km]
16873) Vietnamobile (Da Nang, VN) [875.81 km]
 9595) Celcom Axiata (Penang, Malaysia) [924.16 km]
12544) MyKRIS Asia Sdn Bhd (Penang, Malaysia) [924.16 km]
 9357) Cirrus Dot Com Sdn Bhd (Bayan Lepas, Malaysia) [935.82 km]
 9593) Universiti Malaysia Terengganu (Kuala Terengganu, Malaysia) [976.87 km]
 5774) NetNam Corp (Hanoi, Vietnam) [995.05 km]
 6085) VNPT-NET (Hanoi, Vietnam) [995.05 km]
10308) Supernet-hanoi (Hanoi, Vietnam) [995.05 km]
11430) VIETPN CO, LTD (Ha Noi, Viet Nam) [995.05 km]
 2552) FPT Telecom (Hanoi, Vietnam) [995.05 km]
 6342) CMC Telecom (Hanoi, Vietnam) [995.05 km]
 8156) VTC DIGICOM (Hanoi, Vietnam) [995.05 km]
 2428) Viettel IDC (Hanoi, Vietnam) [995.05 km]
 7215) SAIGON POSTEL CORP. (Hanoi, Vietnam) [995.05 km]
16416) Vietnamobile (Hanoi, Viet Nam) [995.05 km]
 9903) Viettel Network (Hanoi, Vietnam) [995.05 km]
11194) HTC-ITC (Hanoi, Viet Nam) [995.05 km]
 9174) MOBIFONE (Hanoi, Vietnam) [995.05 km]
12410) Ooredoo Myanmar (Mandalay, Myanmar) [1027.06 km]
17602) MPT (Mandalay, Malaysia) [1027.06 km]
16810) Universitas Syiah Kuala (Banda Aceh, ID) [1067.37 km]
14890) PT. Aplikanusa Lintasarta (Jakarta, Indonesia) [1092.51 km]
 7583) PT. Telekomunikasi Indonesia (Medan, Indonesia) [1142.86 km]
15372) nusanet (Medan, Indonesia) [1142.86 km]
 9580) Celcom Axiata (Kuantan, Malaysia) [1144.32 km]
 1825) Maxis (Kuala Lumpur, Malaysia) [1183.38 km]
12119) MyKRIS Asia Sdn Bhd (Kuala Lumpur, Malaysia) [1183.38 km]
 1701) Yes 4G (Kuala Lumpur, Malaysia) [1183.38 km]
 1848) U Mobile (Kuala Lumpur, Malaysia) [1183.38 km]
11850) Macro Lynx Sdn Bhd (Kuala Lumpur, Malaysia) [1183.38 km]
 8700) YTL Broadband (Kuala Lumpur, Malaysia) [1183.38 km]
10327) Telekom Malaysia Berhad (Kuala Lumpur, Malaysia) [1183.38 km]
 4348) Exabytes Cloud Sdn Bhd (Kuala Lumpur, Malaysia) [1183.38 km]
 4956) Celcom Axiata (Kuala Lumpur, Malaysia) [1183.38 km]
17318) Extreme Broadband (Kuala Lumpur, Malaysia) [1183.38 km]
 6546) TIME dotcom Bhd. (Shah Alam, Malaysia) [1187.35 km]
 1899) webe Digital Sdn Bhd (Petaling Jaya, Malaysia) [1188.70 km]
 3758) Digi (Petaling Jaya, Malaysia) [1188.70 km]
 5721) Celcom Axiata (Petaling Jaya, Malaysia) [1188.70 km]
13176) IX Telecom (Cyberjaya, Malaysia) [1206.53 km]
 9842) NTT Arcnet (Cyberjaya, Malaysia) [1206.53 km]
10014) Global Forway Sdn Bhd (Cyberjaya, Malaysia) [1206.53 km]
17131) Extreme Broadband (Cyberjaya, MY) [1206.53 km]
 8875) MYREN (Cyberjaya, Malaysia) [1206.53 km]
13241) Setia Haruman Technology (Cyberjaya, Malaysia) [1206.53 km]
14565) UNIVERSITI TENAGA NASIONAL (Putrajaya, Malaysia) [1206.61 km]
15026) IP Core Sdn Bhd (Cyberjaya, Malaysia) [1206.68 km]
 5103) Yunnan Chinaunicom (Kunming, China) [1284.32 km]
 6168) Yunnan China Mobile (Kunming, China) [1284.32 km]
10305) GX-Telecom (Nanning, China) [1308.70 km]
 5674) GX-Unicom (Nanning, China) [1308.70 km]
15863) GX ChinaMobile (Nanning, China) [1308.70 km]
10991) SKAY Broadband Service (Imphal, India) [1411.40 km]
10755) Kangla Broadband (Imphal, India) [1411.40 km]
 2054) Viewqwest Pte Ltd (Singapore, Republic of Singapore) [1427.94 km]
  367) NewMedia Express (Singapore, Republic of Singapore) [1427.94 km]
 1883) Telin (Singapore, Republic of Singapore) [1427.94 km]
 3914) SingTel (Singapore, Republic of Singapore) [1427.94 km]
 5935) MyRepublic (Singapore, Republic of Singapore) [1427.94 km]
 5168) PT Indosat Tbk (Singapore, Republic of Singapore) [1427.94 km]
 7556) PT FirstMedia (Singapore, Republic of Singapore) [1427.94 km]
 4235) StarHub Mobile Pte Ltd (Singapore, Singapore) [1427.94 km]
 7311) M1 Limited (Singapore, Republic of Singapore) [1427.94 km]
 5304) Vodien Internet Solutions Pte Ltd (Singapore, Republic of Singapore) [1427.94 km]
18831) bgp network (Singapore, Republic of Singapore) [1427.94 km]
 6341) Netpluz Asia Pte Ltd (Singapore, Singapore) [1427.94 km]
10769) PT XL Axiata Tbk (Singapore, Republic of Singapore) [1427.94 km]
 7009) SuperInternet (Singapore, Republic of Singapore) [1427.94 km]
 1371) PT Telekomunikasi Indonesia (Batam, Indonesia) [1459.26 km]
18963) Grahakomindo (Batam, Indonesia) [1459.26 km]
18108) PT. Hutchison 3 Indonesia - BTH (Batam, Indonesia) [1459.26 km]
18993) PT Mora Telematika Indonesia (Batam, Indonesia) [1459.26 km]
 7584) PT. Telekomunikasi Indonesia (Pekanbaru, Indonesia) [1469.07 km]
13342) Dashnet (Pekanbaru, Indonesia) [1469.07 km]
14274) Hutchison 3 Indonesia - PKU (Pekanbaru, Indonesia) [1471.96 km]
13660) ShreeNortheast Connect & Services P. Ltd (Silchar, India) [1475.38 km]
 6657) SymBios Creations Pvt. Ltd. (Dimapur, India) [1528.49 km]
 9096) Banglalink (Dhaka, Bangladesh) [1536.05 km]
10424) Grameenphone Ltd (Dhaka, Bangladesh) [1536.05 km]
 4406) Ollo Wireless Internet (Dhaka, Bangladesh) [1536.05 km]
11928) Banglalion Communications Ltd. (Dhaka, Bangladesh) [1536.05 km]
 3366) Aamra Technologies Limited (Dhaka, Bangladesh) [1536.05 km]
 7327) PING (Dhaka, Bangladesh) [1536.05 km]
 6321) Race Online (Dhaka, Bangladesh) [1536.05 km]
 6407) Robi Axiata Limited (Dhaka, Bangladesh) [1536.05 km]
 5020) Teletalk Bangladesh Ltd (Dhaka, Bangladesh) [1536.05 km]
 7147) Skytel Communication Ltd (Dhaka, Bangladesh) [1536.05 km]
